"Ledger Id","Ledger Name","Group Name",Debit,Credit
211,"Flight Booking Cancellation Charge","Service Charges Received",,
212,"Train Ticket Cancellation Charge","Service Charges Received",,
213,"Visa Cancellation Charge","Service Charges Received",,
214,"Bus Booking Cancellation Charge","Service Charges Received",,
215,"Car Rental Cancellation Charge","Service Charges Received",,
216,"Activity Cancellation Charge","Service Charges Received",,
217,"Miscellaneous Cancellation Charge","Service Charges Received",,
218,"Passport Booking Cancellation Charge","Service Charges Received",,
219,"B2B Booking Cancellation Charge","Service Charges Received",,
220,"Agent Deposit Incentive Account","Expense (Direct)",,
221,"Airline Commision","Service Charges Received",,
222,"Hotel Commision","Service Charges Received",,
223,"BSP Code","Trade Payable",,
224,"Credit Card Charges","Trade Receivables",,
225,"Demand Draft Charges","Trade Payable",,
226,"Discount on Hotel Invoices","Expense (Direct)",,
227,"Discount on Flight Invoices","Expense (Direct)",,
228,"TDS Payble on Salary","Statutory Dues",,
229,"Write Off Account","Expense (Direct)",,
230,"Round Off Account","Expense (Direct)",,
231,"Credit Card Financial Charges","Finance Charges",,
232,"abc's company","Trade Receivables",,
233,"Abc'ds Company","Trade Receivables",,
234,"34_Credit card_ customer","Trade Receivables",,
235,"American Express","Trade Receivables",,
236,"State bank","Bank Balances",,
237,"Bank test comp","Trade Receivables",,
238,"Bank test","Trade Receivables",,
239,"American x card","Trade Receivables",,
240,"Visa Exc","Trade Receivables",,
241,sdgsgdgf,"Trade Receivables",,
242,sdfdg,"Trade Receivables",,
243,"sdg fsdgsfgxcv","Trade Receivables",,
244,"35_v ","Trade Receivables",,
245,"36_df ","Trade Receivables",,
246,"37_qq ","Trade Receivables",,
247,"38_sdfs ","Trade Receivables",,
248,"39_bbbbbbbb ","Trade Receivables",,
249,"40_dfcvvv ","Trade Receivables",,
250,"41_kkkhhhh ","Trade Receivables",,
251,"7_Amravati hotel","Trade Payable",,
252,"Advances from Itweb A/c","Advance from customers",,
253,"Sonam Company","Trade Receivables",,
254,"Partner Account","Current Capital Account",,
255,"43_sonam d new ","Trade Receivables",,
256,"3_Other exp supplier","Trade Payable",,
